freq_GHz,S21_real,S21_imag,S21_mag,S31_real,S31_imag,S31_mag
2.102191591600000020e+00,-1.421109342499999961e+01,0.000000000000000000e+00,1.421109342499999961e+01,-1.313677799899999954e+01,0.000000000000000000e+00,1.313677799899999954e+01
2.122211511500000203e+00,-1.397003315599999951e+01,0.000000000000000000e+00,1.397003315599999951e+01,-1.326535702199999989e+01,0.000000000000000000e+00,1.326535702199999989e+01
2.142231431399999941e+00,-1.406476201399999937e+01,0.000000000000000000e+00,1.406476201399999937e+01,-1.333238318399999933e+01,0.000000000000000000e+00,1.333238318399999933e+01
2.162251351400000132e+00,-1.398610287500000027e+01,0.000000000000000000e+00,1.398610287500000027e+01,-1.332813655900000072e+01,0.000000000000000000e+00,1.332813655900000072e+01
2.182271271300000315e+00,-1.387298481600000066e+01,0.000000000000000000e+00,1.387298481600000066e+01,-1.328419144299999921e+01,0.000000000000000000e+00,1.328419144299999921e+01
2.202291191199999609e+00,-1.375782068700000060e+01,0.000000000000000000e+00,1.375782068700000060e+01,-1.335153663700000060e+01,0.000000000000000000e+00,1.335153663700000060e+01
2.222311111099999792e+00,-1.375052747800000041e+01,0.000000000000000000e+00,1.375052747800000041e+01,-1.342297538999999951e+01,0.000000000000000000e+00,1.342297538999999951e+01
2.242331030999999975e+00,-1.349182390100000006e+01,0.000000000000000000e+00,1.349182390100000006e+01,-1.336246338599999994e+01,0.000000000000000000e+00,1.336246338599999994e+01
2.262350951000000165e+00,-1.352062370800000046e+01,0.000000000000000000e+00,1.352062370800000046e+01,-1.310305450699999952e+01,0.000000000000000000e+00,1.310305450699999952e+01
2.282370870899999904e+00,-1.361625650300000068e+01,0.000000000000000000e+00,1.361625650300000068e+01,-1.289803466599999915e+01,0.000000000000000000e+00,1.289803466599999915e+01
2.302390790800000087e+00,-1.357763309599999957e+01,0.000000000000000000e+00,1.357763309599999957e+01,-1.286479898600000027e+01,0.000000000000000000e+00,1.286479898600000027e+01
2.322410710699999825e+00,-1.359671162000000066e+01,0.000000000000000000e+00,1.359671162000000066e+01,-1.282562708300000054e+01,0.000000000000000000e+00,1.282562708300000054e+01
2.342430630600000008e+00,-1.350806963299999985e+01,0.000000000000000000e+00,1.350806963299999985e+01,-1.291388534700000079e+01,0.000000000000000000e+00,1.291388534700000079e+01
2.362450550599999755e+00,-1.362408046400000039e+01,0.000000000000000000e+00,1.362408046400000039e+01,-1.292962221600000028e+01,0.000000000000000000e+00,1.292962221600000028e+01
2.382470470499999937e+00,-1.368719930700000020e+01,0.000000000000000000e+00,1.368719930700000020e+01,-1.325672376600000035e+01,0.000000000000000000e+00,1.325672376600000035e+01
2.402490390400000120e+00,-1.387100832900000036e+01,0.000000000000000000e+00,1.387100832900000036e+01,-1.346428707099999933e+01,0.000000000000000000e+00,1.346428707099999933e+01
2.422510310300000302e+00,-1.363185612200000030e+01,0.000000000000000000e+00,1.363185612200000030e+01,-1.368780639400000076e+01,0.000000000000000000e+00,1.368780639400000076e+01
2.442530230199999597e+00,-1.372953162499999991e+01,0.000000000000000000e+00,1.372953162499999991e+01,-1.413359095600000082e+01,0.000000000000000000e+00,1.413359095600000082e+01
2.462550150199999788e+00,-1.378114588599999912e+01,0.000000000000000000e+00,1.378114588599999912e+01,-1.442425915799999991e+01,0.000000000000000000e+00,1.442425915799999991e+01
2.482570070099999970e+00,-1.417895493800000040e+01,0.000000000000000000e+00,1.417895493800000040e+01,-1.484634559799999920e+01,0.000000000000000000e+00,1.484634559799999920e+01
2.502589990000000153e+00,-1.437269454700000004e+01,0.000000000000000000e+00,1.437269454700000004e+01,-1.515703864800000034e+01,0.000000000000000000e+00,1.515703864800000034e+01
2.522609909899999892e+00,-1.449297265899999942e+01,0.000000000000000000e+00,1.449297265899999942e+01,-1.572344368199999920e+01,0.000000000000000000e+00,1.572344368199999920e+01
2.542629829800000074e+00,-1.470090168900000016e+01,0.000000000000000000e+00,1.470090168900000016e+01,-1.597575626000000071e+01,0.000000000000000000e+00,1.597575626000000071e+01
2.562649749699999813e+00,-1.509364278099999979e+01,0.000000000000000000e+00,1.509364278099999979e+01,-1.643464147399999931e+01,0.000000000000000000e+00,1.643464147399999931e+01
2.582669669700000004e+00,-1.520439896499999932e+01,0.000000000000000000e+00,1.520439896499999932e+01,-1.706099854500000035e+01,0.000000000000000000e+00,1.706099854500000035e+01
2.602689589599999742e+00,-1.529479967600000023e+01,0.000000000000000000e+00,1.529479967600000023e+01,-1.765972547599999842e+01,0.000000000000000000e+00,1.765972547599999842e+01
2.622709509499999925e+00,-1.548718586799999919e+01,0.000000000000000000e+00,1.548718586799999919e+01,-1.804007219300000031e+01,0.000000000000000000e+00,1.804007219300000031e+01
2.642729429400000107e+00,-1.605927520699999889e+01,0.000000000000000000e+00,1.605927520699999889e+01,-1.838680958799999843e+01,0.000000000000000000e+00,1.838680958799999843e+01
2.662749349300000290e+00,-1.656033038700000048e+01,0.000000000000000000e+00,1.656033038700000048e+01,-1.855973633800000044e+01,0.000000000000000000e+00,1.855973633800000044e+01
2.682769269300000037e+00,-1.714142685699999902e+01,0.000000000000000000e+00,1.714142685699999902e+01,-1.871135156300000091e+01,0.000000000000000000e+00,1.871135156300000091e+01
2.702789189199999775e+00,-1.805595293100000021e+01,0.000000000000000000e+00,1.805595293100000021e+01,-1.898190308399999893e+01,0.000000000000000000e+00,1.898190308399999893e+01
2.722809109099999958e+00,-1.882903121900000087e+01,0.000000000000000000e+00,1.882903121900000087e+01,-1.917456497899999945e+01,0.000000000000000000e+00,1.917456497899999945e+01
2.742829029000000141e+00,-1.986828530100000023e+01,0.000000000000000000e+00,1.986828530100000023e+01,-1.926058199899999934e+01,0.000000000000000000e+00,1.926058199899999934e+01
2.762848948899999879e+00,-2.122985655700000152e+01,0.000000000000000000e+00,2.122985655700000152e+01,-1.880546552099999857e+01,0.000000000000000000e+00,1.880546552099999857e+01
2.782868868900000070e+00,-2.244058385299999969e+01,0.000000000000000000e+00,2.244058385299999969e+01,-1.885132786599999832e+01,0.000000000000000000e+00,1.885132786599999832e+01
2.802888788800000253e+00,-2.320930011400000126e+01,0.000000000000000000e+00,2.320930011400000126e+01,-1.850045471199999980e+01,0.000000000000000000e+00,1.850045471199999980e+01
